"status","message","data__total","data__result__value","data__result__time","data__result__date","data__result__span","data__average","data__location_id","data__commodity_id","data__legend","data__commodity_name","stat__|","stat__|__total","stat__|__nb_data","stat__|__avg"
"ok","","1775300","9200","May 5, 2013","2013-05-05","125","10505","1","24","Harga Kota Bandung","Beras Premium","May 5, 2013","9200","1","9200"
"","","","9200","May 12, 2013","2013-05-12","132","","","","","","May 12, 2013","9200","1","9200"
"","","","9200","May 19, 2013","2013-05-19","139","","","","","","May 19, 2013","9200","1","9200"
"","","","9200","May 26, 2013","2013-05-26","146","","","","","","May 26, 2013","9200","1","9200"
"","","","9200","June 2, 2013","2013-06-02","153","","","","","","June 2, 2013","9200","1","9200"
"","","","9200","June 9, 2013","2013-06-09","160","","","","","","June 9, 2013","9200","1","9200"
"","","","9200","June 16, 2013","2013-06-16","167","","","","","","June 16, 2013","9200","1","9200"
"","","","9500","June 23, 2013","2013-06-23","174","","","","","","June 23, 2013","9500","1","9500"
"","","","10000","June 30, 2013","2013-06-30","181","","","","","","June 30, 2013","10000","1","10000"
"","","","10000","July 7, 2013","2013-07-07","188","","","","","","July 7, 2013","10000","1","10000"
"","","","10000","July 14, 2013","2013-07-14","195","","","","","","July 14, 2013","10000","1","10000"
"","","","10000","July 21, 2013","2013-07-21","202","","","","","","July 21, 2013","10000","1","10000"
"","","","10000","July 28, 2013","2013-07-28","209","","","","","","July 28, 2013","10000","1","10000"
"","","","9500","August 4, 2013","2013-08-04","216","","","","","","August 4, 2013","9500","1","9500"
"","","","9500","August 11, 2013","2013-08-11","223","","","","","","August 11, 2013","9500","1","9500"
"","","","10000","August 18, 2013","2013-08-18","230","","","","","","August 18, 2013","10000","1","10000"
"","","","10000","August 25, 2013","2013-08-25","237","","","","","","August 25, 2013","10000","1","10000"
"","","","10000","September 1, 2013","2013-09-01","244","","","","","","September 1, 2013","10000","1","10000"
"","","","9500","September 8, 2013","2013-09-08","251","","","","","","September 8, 2013","9500","1","9500"
"","","","9500","September 15, 2013","2013-09-15","258","","","","","","September 15, 2013","9500","1","9500"
"","","","9500","September 22, 2013","2013-09-22","265","","","","","","September 22, 2013","9500","1","9500"
"","","","9500","September 29, 2013","2013-09-29","272","","","","","","September 29, 2013","9500","1","9500"
"","","","9500","October 6, 2013","2013-10-06","279","","","","","","October 6, 2013","9500","1","9500"
"","","","9500","October 13, 2013","2013-10-13","286","","","","","","October 13, 2013","9500","1","9500"
"","","","9500","October 20, 2013","2013-10-20","293","","","","","","October 20, 2013","9500","1","9500"
"","","","9500","October 27, 2013","2013-10-27","300","","","","","","October 27, 2013","9500","1","9500"
"","","","9500","November 3, 2013","2013-11-03","307","","","","","","November 3, 2013","9500","1","9500"
"","","","9500","November 10, 2013","2013-11-10","314","","","","","","November 10, 2013","9500","1","9500"
"","","","9500","November 17, 2013","2013-11-17","321","","","","","","November 17, 2013","9500","1","9500"
"","","","9500","November 24, 2013","2013-11-24","328","","","","","","November 24, 2013","9500","1","9500"
"","","","9500","December 1, 2013","2013-12-01","335","","","","","","December 1, 2013","9500","1","9500"
"","","","9500","December 8, 2013","2013-12-08","342","","","","","","December 8, 2013","9500","1","9500"
"","","","9700","December 15, 2013","2013-12-15","349","","","","","","December 15, 2013","9700","1","9700"
"","","","9700","December 22, 2013","2013-12-22","356","","","","","","December 22, 2013","9700","1","9700"
"","","","9700","December 29, 2013","2013-12-29","363","","","","","","December 29, 2013","9700","1","9700"
"","","","9700","January 5, 2014","2014-01-05","5","","","","","","January 5, 2014","9700","1","9700"
"","","","9700","January 12, 2014","2014-01-12","12","","","","","","January 12, 2014","9700","1","9700"
"","","","9700","January 19, 2014","2014-01-19","19","","","","","","January 19, 2014","9700","1","9700"
"","","","9700","January 26, 2014","2014-01-26","26","","","","","","January 26, 2014","9700","1","9700"
"","","","9700","February 2, 2014","2014-02-02","33","","","","","","February 2, 2014","9700","1","9700"
"","","","9700","February 9, 2014","2014-02-09","40","","","","","","February 9, 2014","9700","1","9700"
"","","","9700","February 16, 2014","2014-02-16","47","","","","","","February 16, 2014","9700","1","9700"
"","","","9700","February 23, 2014","2014-02-23","54","","","","","","February 23, 2014","9700","1","9700"
"","","","9700","March 2, 2014","2014-03-02","61","","","","","","March 2, 2014","9700","1","9700"
"","","","9700","March 9, 2014","2014-03-09","68","","","","","","March 9, 2014","9700","1","9700"
"","","","9700","March 16, 2014","2014-03-16","75","","","","","","March 16, 2014","9700","1","9700"
"","","","9700","March 23, 2014","2014-03-23","82","","","","","","March 23, 2014","9700","1","9700"
"","","","9700","March 30, 2014","2014-03-30","89","","","","","","March 30, 2014","9700","1","9700"
"","","","9700","April 6, 2014","2014-04-06","96","","","","","","April 6, 2014","9700","1","9700"
"","","","9800","April 13, 2014","2014-04-13","103","","","","","","April 13, 2014","9800","1","9800"
"","","","9500","April 20, 2014","2014-04-20","110","","","","","","April 20, 2014","9500","1","9500"
"","","","9500","April 27, 2014","2014-04-27","117","","","","","","April 27, 2014","9500","1","9500"
"","","","9500","May 4, 2014","2014-05-04","124","","","","","","May 4, 2014","9500","1","9500"
"","","","9500","May 11, 2014","2014-05-11","131","","","","","","May 11, 2014","9500","1","9500"
"","","","9500","May 18, 2014","2014-05-18","138","","","","","","May 18, 2014","9500","1","9500"
"","","","9500","May 25, 2014","2014-05-25","145","","","","","","May 25, 2014","9500","1","9500"
"","","","9500","June 8, 2014","2014-06-08","159","","","","","","June 8, 2014","9500","1","9500"
"","","","9500","June 15, 2014","2014-06-15","166","","","","","","June 15, 2014","9500","1","9500"
"","","","9500","June 22, 2014","2014-06-22","173","","","","","","June 22, 2014","9500","1","9500"
"","","","9500","June 29, 2014","2014-06-29","180","","","","","","June 29, 2014","9500","1","9500"
"","","","9500","July 6, 2014","2014-07-06","187","","","","","","July 6, 2014","9500","1","9500"
"","","","9500","July 13, 2014","2014-07-13","194","","","","","","July 13, 2014","9500","1","9500"
"","","","9500","July 20, 2014","2014-07-20","201","","","","","","July 20, 2014","9500","1","9500"
"","","","9500","July 27, 2014","2014-07-27","208","","","","","","July 27, 2014","9500","1","9500"
"","","","9500","August 3, 2014","2014-08-03","215","","","","","","August 3, 2014","9500","1","9500"
"","","","9500","August 10, 2014","2014-08-10","222","","","","","","August 10, 2014","9500","1","9500"
"","","","9500","August 17, 2014","2014-08-17","229","","","","","","August 17, 2014","9500","1","9500"
"","","","9500","August 24, 2014","2014-08-24","236","","","","","","August 24, 2014","9500","1","9500"
"","","","9500","August 31, 2014","2014-08-31","243","","","","","","August 31, 2014","9500","1","9500"
"","","","9500","September 7, 2014","2014-09-07","250","","","","","","September 7, 2014","9500","1","9500"
"","","","9500","September 14, 2014","2014-09-14","257","","","","","","September 14, 2014","9500","1","9500"
"","","","9500","September 21, 2014","2014-09-21","264","","","","","","September 21, 2014","9500","1","9500"
"","","","9500","September 28, 2014","2014-09-28","271","","","","","","September 28, 2014","9500","1","9500"
"","","","9500","October 5, 2014","2014-10-05","278","","","","","","October 5, 2014","9500","1","9500"
"","","","9500","October 12, 2014","2014-10-12","285","","","","","","October 12, 2014","9500","1","9500"
"","","","9700","October 19, 2014","2014-10-19","292","","","","","","October 19, 2014","9700","1","9700"
"","","","9700","October 26, 2014","2014-10-26","299","","","","","","October 26, 2014","9700","1","9700"
"","","","9700","November 2, 2014","2014-11-02","306","","","","","","November 2, 2014","9700","1","9700"
"","","","9700","November 9, 2014","2014-11-09","313","","","","","","November 9, 2014","9700","1","9700"
"","","","9700","November 16, 2014","2014-11-16","320","","","","","","November 16, 2014","9700","1","9700"
"","","","9700","November 23, 2014","2014-11-23","327","","","","","","November 23, 2014","9700","1","9700"
"","","","9700","December 5, 2014","2014-12-05","339","","","","","","December 5, 2014","9700","1","9700"
"","","","10000","December 12, 2014","2014-12-12","346","","","","","","December 12, 2014","10000","1","10000"
"","","","10000","December 19, 2014","2014-12-19","353","","","","","","December 19, 2014","10000","1","10000"
"","","","10500","December 26, 2014","2014-12-26","360","","","","","","December 26, 2014","10500","1","10500"
"","","","10500","January 2, 2015","2015-01-02","2","","","","","","January 2, 2015","10500","1","10500"
"","","","10500","January 9, 2015","2015-01-09","9","","","","","","January 9, 2015","10500","1","10500"
"","","","10500","January 16, 2015","2015-01-16","16","","","","","","January 16, 2015","10500","1","10500"
"","","","10500","January 23, 2015","2015-01-23","23","","","","","","January 23, 2015","10500","1","10500"
"","","","10500","January 30, 2015","2015-01-30","30","","","","","","January 30, 2015","10500","1","10500"
"","","","10500","February 6, 2015","2015-02-06","37","","","","","","February 6, 2015","10500","1","10500"
"","","","10000","February 13, 2015","2015-02-13","44","","","","","","February 13, 2015","10000","1","10000"
"","","","10000","February 20, 2015","2015-02-20","51","","","","","","February 20, 2015","10000","1","10000"
"","","","12000","February 27, 2015","2015-02-27","58","","","","","","February 27, 2015","12000","1","12000"
"","","","12000","March 6, 2015","2015-03-06","65","","","","","","March 6, 2015","12000","1","12000"
"","","","12000","March 13, 2015","2015-03-13","72","","","","","","March 13, 2015","12000","1","12000"
"","","","11800","March 20, 2015","2015-03-20","79","","","","","","March 20, 2015","11800","1","11800"
"","","","11500","March 27, 2015","2015-03-27","86","","","","","","March 27, 2015","11500","1","11500"
"","","","11000","April 3, 2015","2015-04-03","93","","","","","","April 3, 2015","11000","1","11000"
"","","","11000","April 10, 2015","2015-04-10","100","","","","","","April 10, 2015","11000","1","11000"
"","","","11000","April 17, 2015","2015-04-17","107","","","","","","April 17, 2015","11000","1","11000"
"","","","11000","April 24, 2015","2015-04-24","114","","","","","","April 24, 2015","11000","1","11000"
"","","","11000","May 1, 2015","2015-05-01","121","","","","","","May 1, 2015","11000","1","11000"
"","","","11000","May 8, 2015","2015-05-08","128","","","","","","May 8, 2015","11000","1","11000"
"","","","11000","May 15, 2015","2015-05-15","135","","","","","","May 15, 2015","11000","1","11000"
"","","","11000","May 22, 2015","2015-05-22","142","","","","","","May 22, 2015","11000","1","11000"
"","","","11000","May 29, 2015","2015-05-29","149","","","","","","May 29, 2015","11000","1","11000"
"","","","11000","June 5, 2015","2015-06-05","156","","","","","","June 5, 2015","11000","1","11000"
"","","","11000","June 12, 2015","2015-06-12","163","","","","","","June 12, 2015","11000","1","11000"
"","","","11000","June 19, 2015","2015-06-19","170","","","","","","June 19, 2015","11000","1","11000"
"","","","11000","June 26, 2015","2015-06-26","177","","","","","","June 26, 2015","11000","1","11000"
"","","","11000","July 3, 2015","2015-07-03","184","","","","","","July 3, 2015","11000","1","11000"
"","","","11000","July 10, 2015","2015-07-10","191","","","","","","July 10, 2015","11000","1","11000"
"","","","11000","July 17, 2015","2015-07-17","198","","","","","","July 17, 2015","11000","1","11000"
"","","","11000","July 24, 2015","2015-07-24","205","","","","","","July 24, 2015","11000","1","11000"
"","","","11000","July 31, 2015","2015-07-31","212","","","","","","July 31, 2015","11000","1","11000"
"","","","11000","August 7, 2015","2015-08-07","219","","","","","","August 7, 2015","11000","1","11000"
"","","","11000","August 14, 2015","2015-08-14","226","","","","","","August 14, 2015","11000","1","11000"
"","","","11500","August 21, 2015","2015-08-21","233","","","","","","August 21, 2015","11500","1","11500"
"","","","12000","August 28, 2015","2015-08-28","240","","","","","","August 28, 2015","12000","1","12000"
"","","","11500","September 4, 2015","2015-09-04","247","","","","","","September 4, 2015","11500","1","11500"
"","","","11000","September 11, 2015","2015-09-11","254","","","","","","September 11, 2015","11000","1","11000"
"","","","11000","September 18, 2015","2015-09-18","261","","","","","","September 18, 2015","11000","1","11000"
"","","","11000","September 25, 2015","2015-09-25","268","","","","","","September 25, 2015","11000","1","11000"
"","","","11000","October 2, 2015","2015-10-02","275","","","","","","October 2, 2015","11000","1","11000"
"","","","11000","October 9, 2015","2015-10-09","282","","","","","","October 9, 2015","11000","1","11000"
"","","","11000","October 16, 2015","2015-10-16","289","","","","","","October 16, 2015","11000","1","11000"
"","","","11000","October 23, 2015","2015-10-23","296","","","","","","October 23, 2015","11000","1","11000"
"","","","11000","October 30, 2015","2015-10-30","303","","","","","","October 30, 2015","11000","1","11000"
"","","","11500","November 6, 2015","2015-11-06","310","","","","","","November 6, 2015","11500","1","11500"
"","","","11500","November 13, 2015","2015-11-13","317","","","","","","November 13, 2015","11500","1","11500"
"","","","11500","November 20, 2015","2015-11-20","324","","","","","","November 20, 2015","11500","1","11500"
"","","","11500","November 27, 2015","2015-11-27","331","","","","","","November 27, 2015","11500","1","11500"
"","","","11500","December 4, 2015","2015-12-04","338","","","","","","December 4, 2015","11500","1","11500"
"","","","11500","December 11, 2015","2015-12-11","345","","","","","","December 11, 2015","11500","1","11500"
"","","","11500","December 18, 2015","2015-12-18","352","","","","","","December 18, 2015","11500","1","11500"
"","","","11500","December 25, 2015","2015-12-25","359","","","","","","December 25, 2015","11500","1","11500"
"","","","11500","January 1, 2016","2016-01-01","1","","","","","","January 1, 2016","11500","1","11500"
"","","","11500","January 8, 2016","2016-01-08","8","","","","","","January 8, 2016","11500","1","11500"
"","","","11500","January 15, 2016","2016-01-15","15","","","","","","January 15, 2016","11500","1","11500"
"","","","11500","January 22, 2016","2016-01-22","22","","","","","","January 22, 2016","11500","1","11500"
"","","","11500","January 29, 2016","2016-01-29","29","","","","","","January 29, 2016","11500","1","11500"
"","","","12000","February 5, 2016","2016-02-05","36","","","","","","February 5, 2016","12000","1","12000"
"","","","12000","February 12, 2016","2016-02-12","43","","","","","","February 12, 2016","12000","1","12000"
"","","","12000","February 19, 2016","2016-02-19","50","","","","","","February 19, 2016","12000","1","12000"
"","","","12000","February 26, 2016","2016-02-26","57","","","","","","February 26, 2016","12000","1","12000"
"","","","12000","March 4, 2016","2016-03-04","64","","","","","","March 4, 2016","12000","1","12000"
"","","","12000","March 11, 2016","2016-03-11","71","","","","","","March 11, 2016","12000","1","12000"
"","","","12000","March 18, 2016","2016-03-18","78","","","","","","March 18, 2016","12000","1","12000"
"","","","12000","March 25, 2016","2016-03-25","85","","","","","","March 25, 2016","12000","1","12000"
"","","","12000","April 1, 2016","2016-04-01","92","","","","","","April 1, 2016","12000","1","12000"
"","","","12000","April 8, 2016","2016-04-08","99","","","","","","April 8, 2016","12000","1","12000"
"","","","12000","April 15, 2016","2016-04-15","106","","","","","","April 15, 2016","12000","1","12000"
"","","","12000","April 22, 2016","2016-04-22","113","","","","","","April 22, 2016","12000","1","12000"
"","","","12000","April 29, 2016","2016-04-29","120","","","","","","April 29, 2016","12000","1","12000"
"","","","12000","May 6, 2016","2016-05-06","127","","","","","","May 6, 2016","12000","1","12000"
"","","","12000","May 13, 2016","2016-05-13","134","","","","","","May 13, 2016","12000","1","12000"
"","","","12000","May 20, 2016","2016-05-20","141","","","","","","May 20, 2016","12000","1","12000"
"","","","12000","May 27, 2016","2016-05-27","148","","","","","","May 27, 2016","12000","1","12000"
"","","","12000","June 3, 2016","2016-06-03","155","","","","","","June 3, 2016","12000","1","12000"
"","","","12000","June 10, 2016","2016-06-10","162","","","","","","June 10, 2016","12000","1","12000"
"","","","12000","June 17, 2016","2016-06-17","169","","","","","","June 17, 2016","12000","1","12000"
"","","","12000","June 24, 2016","2016-06-24","176","","","","","","June 24, 2016","12000","1","12000"
"","","","12000","July 1, 2016","2016-07-01","183","","","","","","July 1, 2016","12000","1","12000"
"","","","12000","July 8, 2016","2016-07-08","190","","","","","","July 8, 2016","12000","1","12000"
"","","","12000","July 15, 2016","2016-07-15","197","","","","","","July 15, 2016","12000","1","12000"
"","","","12000","July 22, 2016","2016-07-22","204","","","","","","July 22, 2016","12000","1","12000"
"","","","12000","July 29, 2016","2016-07-29","211","","","","","","July 29, 2016","12000","1","12000"
"","","","12000","August 5, 2016","2016-08-05","218","","","","","","August 5, 2016","12000","1","12000"
